Youtube link,Product,Crop,Region,Language,Product Code,Month
https://www.youtube.com/watch?v=TzduZva1T2M,Shriram SprayIt Cotton,Cotton,Haryana,Hindi,SPRC037PN,9
https://www.youtube.com/watch?v=HBLg6JzPd0A,Shriram Protobuz,Cotton,Haryana,Hindi,PROT030PN,9
https://www.youtube.com/watch?v=aSdbu_t6fGg,Shriram Reprozin,Cotton,Maharashtra,Marathi,REPR033PN,9
https://www.youtube.com/watch?v=Q0tTSJXCJ1U,Shriram Chrone,Paddy,Karnataka,Kannada,CHRO050CP,9
https://www.youtube.com/watch?v=LgvikBaAwzU,Shriram Chrone,Paddy,"Andhra Pradesh, Telangana",Telugu,CHRO050CP,9
https://www.youtube.com/watch?v=TTo_Rh-kTbM,Shriram Chrone,Paddy,Gujarat,Gujarati,CHRO050CP,9
https://www.youtube.com/watch?v=r7sYkSOBOoU,Shriram Chrone,Paddy,Maharashtra,Marathi,CHRO050CP,9
https://www.youtube.com/watch?v=7MepyxCRMQg,Shriram SprayIT Cotton,Cotton,Maharashtra,Marathi,SPRC037PN,9
https://www.youtube.com/watch?v=xUM81AjykVE,Shriram Reprozin,Cotton,Gujarat,Gujarati,REPR033PN,9
https://www.youtube.com/watch?v=I5LZQqP9g0w,Shriram Reprozin,Cotton,Maharashtra,Marathi,REPR033PN,9
https://www.youtube.com/watch?v=P4V4ReiCRtU,Shriram SprayIT Cotton,Cotton,Maharashtra,Marathi,SPRC037PN,9
https://www.youtube.com/watch?v=-KO_ulmMsFs,Shriram Dripit Vegetables - Grade I,All Crops,"Andhra Pradesh, Telangana",Telugu,DRV1010PN,9
https://www.youtube.com/watch?v=xyVmxPAyiRo,Shriram Dripit Vegetables - Grade I,All Crops,Maharashtra,Marathi,DRV1010PN,9
https://www.youtube.com/watch?v=j0Tg1_EwRHA&pp=0gcJCX4JAYcqIYzv,Shriram Dripit Vegetables - Grade I,All Crops,Karnataka,Kannada,DRV1010PN,9
https://www.youtube.com/watch?v=OxeA3KqQX0Y,Shriram Doppelt,All Crops,All India,Hindi,DOPP052CP,9
https://www.youtube.com/watch?v=xAA6qGSRgJQ,Shriram Chrone,All Crops,All India,Hindi,CHRO050CP,9
https://www.youtube.com/watch?v=dWPlH4Oz6O4,Shriram 2372,Tomato,Uttar Pradesh,Hindi,2372011VS,9
https://www.youtube.com/watch?v=GLChzyVHXCk&pp=0gcJCX4JAYcqIYzv,Shriram 2372,Tomato,Uttar Pradesh,Hindi,2372011VS,9
https://www.youtube.com/watch?v=CwIRfPLP6B4,Shriram Chrone,Paddy,All India,Hindi,CHRO050CP,9
https://www.youtube.com/watch?v=8X9j0hijvdc,Shriram 412,Cotton,Madhya Pradesh,Hindi,412X028HY,9
https://www.youtube.com/watch?v=8rlH1CEegZU,Shriram Chrone,"Paddy, Cotton",All India,Hindi,CHRO050CP,9
https://www.youtube.com/watch?v=RBxLjxu3i74,Shriram Ciptrole SC,Groundnut,All India,Hindi,CIPS056CP,9
https://www.youtube.com/watch?v=75QltoCbsrk,Shriram Ciptrole SC,Paddy,All India,Hindi,CIPS056CP,9
https://www.youtube.com/watch?v=caUv9oG1n4s,Shriram Dripit Vegetables - Grade I,All Crops,All India,Hindi,DRV1010PN,9
https://www.youtube.com/watch?v=63cxxcINQ-s,Shriram Sateer,Maize,All India,Hindi,SATE053CP,9
https://www.youtube.com/watch?v=1F4NSQ2vYVw,Shriram Super 4466,Paddy,West Bengal,Bengali,4466005RP,9
https://www.youtube.com/watch?v=4-R-A0QyJfM,Shriram Super 4400,Paddy,Bihar,Hindi,4400004RP,9
https://www.youtube.com/watch?v=SV2fjqJrZac,Shriram Super 4466,Paddy,Bihar,Hindi,4466005RP,9
https://www.youtube.com/watch?v=y959ahaKZW0,Shriram Super 7711,Paddy,Bihar,Hindi,7711006RP,9
https://www.youtube.com/watch?v=HeWCaas6SgA,Shriram 412,Cotton,Gujarat,Gujarati,412X028HY,9
https://www.youtube.com/watch?v=JPyW0cLnP9c,SHRIRAM PROTOBUZ+,All Crops,All India,Hindi,PROT031PN,9
https://www.youtube.com/watch?v=uo_wmPEjJK4,Shriram Bikuta,Cotton,"Andhra Pradesh, Telangana",Telugu,BIKU054CP,9
